Time		FC3,FCZ,FC4,C3 ,Cz ,C4 ,CP3,CPz,CP4
Hi13:46:8:383089,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:388450,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:395904,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:404707,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:406700,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:407390,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:408388,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:408388,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:413644,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:413644,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:413644,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:419083,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:420079,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:420079,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:423065,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:424259,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:425501,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:426498,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:426498,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:426498,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:426498,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:426498,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:432576,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:433577,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:433577,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:433577,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:46:8:433577,-5,-5,-5,-5,-5,-5,-5,-5,-5
