Time		FC3,FCZ,FC4,C3 ,Cz ,C4 ,CP3,CPz,CP4
Hi13:36:53:271212,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:275592,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:276770,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:278836,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:280962,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:290135,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:298166,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:299531,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:300566,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:302758,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:302758,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:302758,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:308744,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:310738,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:310738,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:313777,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:314955,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:315954,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:315954,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:315954,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:315954,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:315954,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:323573,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:324570,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:324570,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:324570,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:324570,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:328854,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:330921,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:331946,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:331946,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:331946,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:331946,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:336858,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:336858,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:336858,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:336858,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:336858,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:336858,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:343690,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:343690,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:345432,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:346776,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:347803,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:349560,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:350558,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:350558,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:350558,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:350558,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:350558,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:356446,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:357441,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:358441,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:359482,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:360478,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:362340,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:363398,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:364397,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:365395,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:366393,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:366393,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:366393,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:370028,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:371025,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:372022,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:372022,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:372022,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:372022,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:377341,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:378336,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:380063,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:381088,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:381088,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:36:53:381088,-5,-5,-5,-5,-5,-5,-5,-5,-5
