Time		FC3,FCZ,FC4,C3 ,Cz ,C4 ,CP3,CPz,CP4
Hi13:38:29:77657,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:79753,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:89017,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:94923,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:97368,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:99363,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:99363,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:104534,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:104534,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:104534,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:108786,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:111253,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:112287,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:112287,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:115501,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:115501,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:117267,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:118875,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:119910,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:119910,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:119910,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:119910,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:124780,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:125777,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:126774,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:127771,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:127771,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:127771,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:131112,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:132111,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:132111,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:132111,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:132111,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:132111,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:138536,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:139561,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:140556,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:140556,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:140556,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:140556,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:145002,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:146027,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:148247,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:149671,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:150813,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:151857,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:152855,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:153852,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:153852,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:153852,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:153852,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:158690,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:159721,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:159721,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:159721,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:159721,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:164246,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:165270,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:166267,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:166267,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:166267,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:166267,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:166267,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:172409,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:173433,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:174431,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:174431,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:174431,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:174431,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:179151,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:180714,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:181713,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:182710,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:182710,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:182710,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:186280,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:187277,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:187277,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:187277,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:187277,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:187277,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:193374,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:194372,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:195369,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:197409,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:198360,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:199572,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:200571,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:201612,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:201612,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:201612,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:201612,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:201612,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:208226,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:209223,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:209223,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:209223,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:209223,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:213587,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:214585,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:216511,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:516583,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:38:29:817424,-5,-5,-5,-5,-5,-5,-5,-5,-5
