Time		FC3,FCZ,FC4,C3 ,Cz ,C4 ,CP3,CPz,CP4
Hi13:26:55:192530,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:193491,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:194614,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:196875,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:198899,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:200065,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:202801,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:203893,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:213073,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:221878,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:227963,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:227963,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:227963,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:232406,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:238221,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:239245,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:239245,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:239245,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:239245,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:245135,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:246164,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:247181,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:248205,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:248205,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:251197,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:252194,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:253190,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:253190,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:253190,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:253190,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:258352,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:259348,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:259348,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:259348,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:259348,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:263739,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:264759,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:265760,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:266851,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:269170,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:269170,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:269170,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:272126,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:273590,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:274587,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:275584,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:276581,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:278365,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:279389,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:280393,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:281389,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:281389,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:281389,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:285036,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:286033,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:287063,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:287063,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:287063,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:287063,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:287063,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:292644,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:293641,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:294638,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:294638,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:294638,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:294638,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:299793,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:300825,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:300825,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:300825,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:300825,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:300825,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:300825,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:307748,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:307748,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:307748,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:307748,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:307748,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:307748,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:313631,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:314661,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:315659,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:317127,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:318157,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:319817,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:320814,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:321424,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:322810,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:324207,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:325204,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:326338,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:327367,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:328365,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:328365,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:328365,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:328365,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:328365,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:333785,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:335008,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:337003,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:337003,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:636633,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:55:935195,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:26:56:241193,180,138,235,46,5,177,91,116,56
13:26:56:411668,106,85,241,81,70,87,230,79,206
13:26:56:515408,78,180,119,171,176,220,213,47,164
13:26:56:618157,11,73,59,196,231,70,246,135,242
13:26:56:725468,6,197,233,44,167,37,144,187,233
13:26:56:827642,51,148,163,195,207,88,246,235,255
13:26:56:910311,172,109,76,124,246,143,233,59,22
13:26:57:28532,5,78,225,99,13,77,35,21,221
13:26:57:128174,215,214,1,77,26,65,82,168,45
13:26:57:768834,116,115,19,202,153,77,69,31,40
13:26:57:900019,230,38,34,160,96,92,104,190,97
13:26:58:16848,72,66,142,108,87,86,66,13,125
13:26:58:129457,188,107,19,163,245,231,246,255,48
13:26:58:240087,193,206,224,232,128,88,53,226,141
13:26:58:349078,47,153,100,179,63,158,52,79,182
13:26:58:456797,77,236,214,25,213,174,73,123,139
13:26:58:563828,235,176,27,151,164,29,88,240,13
13:26:58:669949,210,4,190,10,119,223,126,59,137
13:26:58:776921,208,58,20,79,135,246,176,186,193
13:26:58:883873,52,136,117,41,141,161,31,7,127
13:26:58:991819,18,89,155,181,55,215,67,199,237
13:26:59:102328,68,211,240,193,89,196,47,207,2
13:26:59:210363,168,230,220,93,96,90,57,191,163
13:26:59:316111,137,157,15,54,157,150,130,240,162
13:26:59:421956,117,239,28,70,19,167,121,195,200
13:26:59:531040,96,117,98,55,212,77,13,206,135
13:26:59:649164,113,74,87,44,98,141,59,161,64
13:26:59:761978,101,12,218,128,64,139,244,18,63
13:26:59:872875,89,149,247,5,99,189,219,227,104
13:26:59:983041,110,71,144,114,127,3,250,66,10
13:27:0:94586,54,162,225,120,21,194,215,91,64
13:27:0:223963,150,184,20,3,1,127,227,236,217
13:27:0:361873,193,171,48,128,133,115,40,69,57
13:27:0:500162,129,93,56,168,161,172,146,46,124
13:27:0:636357,219,23,16,239,168,169,166,9,113
13:27:0:884811,221,200,109,178,90,255,71,56,158
13:27:1:24199,206,206,95,94,188,212,156,40,197
13:27:1:140255,192,143,48,43,11,14,114,140,50
13:27:1:248402,189,91,176,62,82,211,171,152,16
13:27:1:358112,72,118,179,60,54,133,11,240,180
13:27:1:467980,159,54,16,181,227,46,2,24,101
13:27:1:575769,97,89,137,103,2,148,222,101,77
13:27:1:683000,43,1,130,67,250,130,71,138,92
13:27:1:787983,125,174,160,92,182,239,165,211,16
13:27:1:895235,46,144,63,85,71,237,166,90,9
13:27:2:13177,35,194,202,200,40,192,150,186,58
13:27:2:125097,131,77,61,51,246,69,25,163,224
13:27:2:229876,186,241,49,37,193,83,48,158,111
13:27:2:337733,152,175,141,197,28,138,95,128,198
13:27:2:443772,83,211,21,72,186,72,82,71,104
13:27:2:646274,188,253,112,30,175,251,249,192,51
13:27:2:765654,233,58,10,221,5,117,122,211,103
13:27:2:882854,227,69,76,218,12,38,46,15,240
13:27:2:995016,200,248,233,40,84,101,65,16,134
13:27:3:107698,66,237,135,55,203,185,19,212,239
13:27:3:212022,232,193,98,34,103,129,29,146,7
13:27:3:314099,217,2,170,74,145,91,195,146,110
13:27:3:415801,20,211,241,54,17,118,20,185,223
13:27:3:518893,205,199,88,34,138,248,68,246,133
13:27:3:622072,227,51,179,28,22,197,158,256,179
13:27:3:724793,177,60,21,17,195,131,176,83,238
13:27:3:830131,245,174,146,16,73,95,20,94,235
13:27:3:931036,242,174,214,191,150,169,35,232,235
13:27:4:30881,152,192,174,236,96,239,109,39,220
13:27:4:133109,53,167,222,96,51,121,204,50,215
13:27:4:240038,193,159,147,216,245,232,249,169,60
13:27:4:347962,94,27,49,76,165,204,245,31,197
13:27:4:449449,88,30,105,186,43,253,63,148,252
13:27:4:551918,81,214,51,86,90,210,30,68,248
13:27:4:739751,47,166,188,254,183,125,156,208,204
13:27:4:862734,189,55,218,239,103,81,103,185,145
13:27:4:965090,62,107,141,232,12,51,6,54,18
13:27:5:68138,240,231,106,126,159,204,190,154,155
13:27:5:173348,90,216,62,103,162,89,195,250,43
13:27:5:277055,194,90,125,191,176,145,187,191,137
13:27:5:381570,167,153,194,50,247,229,181,180,95
13:27:5:484148,235,77,115,50,107,87,86,89,70
13:27:5:585915,185,185,224,29,206,143,3,192,122
13:27:5:684679,129,90,35,1,15,103,7,125,75
13:27:5:914677,221,122,200,211,147,0,143,220,98
13:27:6:117009,214,208,213,251,11,137,38,44,243
13:27:6:227996,43,152,90,43,92,22,145,26,110
13:27:6:330740,230,14,113,148,133,117,51,228,203
13:27:6:433698,254,17,212,36,116,217,153,221,231
13:27:6:538818,225,53,221,30,50,138,221,78,97
13:27:6:646761,61,102,240,254,158,239,231,100,45
13:27:6:751035,213,69,52,48,225,191,247,1,54
13:27:6:854457,154,7,91,188,218,245,92,29,131
13:27:6:958719,143,226,62,176,167,28,96,82,185
13:27:7:62776,132,12,15,43,195,238,142,96,40
13:27:7:329885,57,201,10,164,142,86,3,199,121
13:27:7:440935,240,8,177,120,203,131,24,167,219
13:27:7:547942,27,13,142,186,177,96,231,126,141
13:27:7:650871,75,52,85,113,50,118,175,6,121
13:27:7:772354,119,12,67,186,134,238,93,158,76
13:27:7:904221,211,73,143,37,59,188,253,5,126
13:27:8:11181,24,193,173,94,152,140,4,256,193
13:27:8:119931,128,160,182,48,127,178,101,87,156
13:27:8:223587,228,95,59,187,112,59,29,135,133
13:27:8:333322,144,231,176,27,20,76,225,125,119
13:27:8:440124,43,59,123,48,90,151,16,15,212
13:27:8:548134,153,238,30,183,67,67,76,142,254
13:27:8:655856,219,131,142,7,133,62,137,44,46
13:27:8:762621,86,228,151,97,160,102,204,156,33
13:27:8:873087,197,178,34,142,228,138,210,100,42
