Time		FC3,FCZ,FC4,C3 ,Cz ,C4 ,CP3,CPz,CP4
Hi13:45:9:771935,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:773617,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:775836,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:776833,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:779036,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:787725,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:787725,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:796648,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:802918,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:802918,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:805767,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:806765,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:808183,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:812696,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:813690,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:813690,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:813690,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:813690,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:819569,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:820565,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:822561,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:823558,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:823558,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:823558,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:826338,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:827622,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:828621,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:828621,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:828621,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:828621,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:45:9:833306,-5,-5,-5,-5,-5,-5,-5,-5,-5
