Time		FC3,FCZ,FC4,C3 ,Cz ,C4 ,CP3,CPz,CP4
Hi13:43:51:730420,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:735881,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:737874,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:738870,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:748707,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:756062,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:756062,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:758791,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:761973,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:765304,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:766303,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:768296,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:768296,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:768296,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:768296,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:773054,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:774078,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:776073,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:776073,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:776073,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:776073,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:780180,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:781186,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:783201,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:784195,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:784195,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:784195,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:787276,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:788272,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:789269,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:790315,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:790315,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:790315,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:794266,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:795308,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:796307,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:797840,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:798837,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:800344,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:801533,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:802580,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:802580,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:802580,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:802580,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:807487,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:808485,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:809485,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:810480,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:811687,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:812685,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:814358,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:815357,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:816354,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:816354,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:816354,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:820239,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:821240,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:822239,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:823314,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:824337,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:824337,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:824337,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:828111,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:829142,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:830138,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:831369,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:832399,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:832399,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:834946,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:835975,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:835975,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:835975,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:835975,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:835975,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:841761,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:842758,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:843754,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:843754,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:843754,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:43:51:843754,-5,-5,-5,-5,-5,-5,-5,-5,-5
