Time		FC3,FCZ,FC4,C3 ,Cz ,C4 ,CP3,CPz,CP4
Hi13:49:42:896816,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:898338,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:899592,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:901007,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:903066,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:904200,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:906289,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:910171,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:921628,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:928706,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:929730,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:930727,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:930727,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:936652,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:937648,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:937648,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:937648,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:942465,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:944493,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:945632,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:946658,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:946658,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:949265,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:950262,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:950262,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:950262,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:950262,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:950262,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:950262,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:957463,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:958459,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:959474,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:960472,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:960472,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:963401,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:964398,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:965395,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:965395,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:965395,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:965395,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:970338,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:971381,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:972378,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:972378,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:972378,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:976237,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:977234,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:978231,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:978231,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:978231,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:978231,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:978231,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:983662,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:984705,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:984705,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:984705,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:984705,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:984705,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:990450,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:991447,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:993183,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:994228,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:994228,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:994228,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:997373,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:998370,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:999367,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:999367,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:999367,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:42:999367,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:4162,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:5209,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:6206,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:6206,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:6206,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:6206,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:11250,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:12247,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:12247,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:12247,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:12247,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:12247,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:18009,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:19007,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:20056,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:20056,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:20056,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:20056,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:20056,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:26093,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:27041,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:28037,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:28600,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:28600,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:28600,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:32049,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:33048,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:33048,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:33048,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:33048,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:38601,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:342470,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:649190,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:43:948954,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:45:179826,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:45:614161,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:46:9705,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:46:324601,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:46:753537,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:47:119059,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:47:445159,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:47:768166,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:48:74730,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:48:568809,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:48:893700,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:49:247707,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:49:561525,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:49:879907,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:50:201872,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:50:527757,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:50:852185,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:51:169392,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:51:527701,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:51:851685,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:52:206929,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:52:528295,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:52:845875,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:53:165545,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:53:678607,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:54:24517,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:54:363487,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:54:685626,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:55:36617,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:55:366845,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:55:685361,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:56:5623,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:56:314616,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:56:616729,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:56:913438,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:57:219972,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:57:517552,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:57:824829,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:58:151992,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:58:465384,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:58:780714,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:59:89507,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:59:412189,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:49:59:718325,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:0:34921,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:0:389343,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:0:730257,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:1:62579,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:1:538883,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:1:857709,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:2:274955,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:2:823858,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:3:197500,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:3:576702,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:3:945626,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:4:304811,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:4:648127,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:5:179132,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:5:568663,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:5:970091,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:6:333801,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:6:682387,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:7:57561,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:50:7:392847,-5,-5,-5,-5,-5,-5,-5,-5,-5
